PROVISIONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident Ref,Borough,Boro,Latitude,Longitude,Easting,Northing,Location,Accident Severity,No. of Casualties in Acc.,No. of Vehicles in Acc.,Accident Date,Day,Time,Highway,Road Class 1,Road No. 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road No 2,Ped. Crossing Decoded,Light Condtions (Banded),Weather,Road Surface,Special Conditions,C/W Hazard,Time,Apolicer_Decoded
1200231048,Richmond-Upon-Thames,24,51.44557946,-0.36105679,513994,173117,"On Percy Road, 10 Metres East Of The Junction With Ryecroft Avenue.",3 Slight,5,2,43847,Friday,43847.64931,3 Bor,5 C,0,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.64931,1 Police - At Scene
1200231049,Kingston-Upon-Thames,23,51.40525413,-0.30395242,518066,168723,"On Penrhyn Road, 10 Metres South Of The Junction With Grove Crescent .",2 Serious,1,1,43846,Thursday,43846.63542,3 Bor,A,240,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,4 Pelican Or Similar,2 Daylight,1 Fine,2 Road-Wet,0 None,0 None,43846.63542,1 Police - At Scene
1200231053,Newham,17,51.53898236,0.05125723,542354,184225,"On High Street North, 21 Metres North Of The Junction With Unknown.",2 Serious,1,1,43847,Friday,43847.01319,3 Bor,A,117,6 Single Cwy,30,00 No Jun In 20M,,,0,5 Pedn Phase At Ats,2 Daylight,1 Fine,2 Road-Wet,0 None,0 None,43847.01319,3 Self Completion
1200231054,Westminster,1,51.51415128,-0.15198124,528330,181088,"On Oxford Street, Near The Junction With Lumley Street.",3 Slight,1,1,43847,Friday,43847.48125,3 Bor,A,40,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.48125,1 Police - At Scene
1200231056,Bromley,19,51.34620958,0.13637909,548882,162958,On Hewitts Roundabout Junction With Orpington By Pass Road,3 Slight,1,2,43847,Friday,43847.61458,1 Tlrn,A,224,1 Roundabout,40,01 Roundabout,4 Give Way/Uncontrolled,5 C,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.61458,3 Self Completion
1200231061,Waltham Forest,13,51.57019767,-0.02798859,536765,187545,"On Hibbert Road, Near The Junction With Sybourn Street.",3 Slight,1,2,43847,Friday,43847.65278,3 Bor,6 Unclassified,0,2 One-Way St,20,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.65278,1 Police - At Scene
1200231071,Harrow,29,51.61493398,-0.32919425,515778,192000,"On Newbolt Road, 30 Metres South Of The Junction With Binyon Crescent.",3 Slight,1,1,43847,Friday,43847.35069,3 Bor,6 Unclassified,0,6 Single Cwy,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,9 Unknown,9 Unknown (S/R),0 None,9 Unknown (S/R),43847.35069,3 Self Completion
1200231074,Harrow,29,51.59419553,-0.2934574,518306,189751,"On Glebe Avenue, Near The Junction With Glebe Crescent .",3 Slight,1,1,43846,Thursday,43846.32986,3 Bor,6 Unclassified,0,9 Unknown,20,05 Slip Road,9 Unknown (S/R),6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,2 Road-Wet,0 None,0 None,43846.32986,3 Self Completion
1200231085,Hillingdon,26,51.50621479,-0.41397058,510171,179779,"On Mount Road, 50 Metres North Of The Junction With Pump Lane.",3 Slight,1,2,43847,Friday,43847.70139,3 Bor,6 Unclassified,0,9 Unknown,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43847.70139,3 Self Completion
1200231089,Southwark,8,51.47338933,-0.0706006,534096,176701,"On Peckham High Street, Near The Junction With Melon Road.",3 Slight,1,2,43847,Friday,43847.71181,1 Tlrn,A,202,6 Single Cwy,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.71181,1 Police - At Scene
1200231091,Westminster,1,51.53112193,-0.18200378,526200,182923,"On Hamilton Terrace, 69 Metres South Of The Junction With Abercorn Place.",3 Slight,1,3,43847,Friday,43847.69792,3 Bor,6 Unclassified,0,6 Single Cwy,30,00 No Jun In 20M,,,0,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,3 Road Sign Def,0 None,43847.69792,1 Police - At Scene
1200231092,Tower Hamlets,5,51.51114492,-0.06211647,534574,180915,"On Cable Street, 45 Metres West Of The Junction With Crowder Street.",2 Serious,2,1,43847,Friday,43847.74306,3 Bor,4 B,126,2 One-Way St,20,00 No Jun In 20M,,,0,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.74306,1 Police - At Scene
1200231094,Islington,3,51.53583079,-0.10229317,531715,183587,"On Islington Green, 30 Metres North Of The Junction With Upper Street.. The Nearest Classified Road Was The A1",2 Serious,1,1,43847,Friday,43847.72222,3 Bor,A,104,6 Single Cwy,20,00 No Jun In 20M,,,0,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.72222,1 Police - At Scene
1200231099,Hackney,4,51.56150972,-0.07066714,533833,186500,"On Rectory Road, 26 Metres South Of The Junction With Sanford Terrace.",3 Slight,1,1,43846,Thursday,43846.63542,1 Tlrn,A,10,2 One-Way St,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,2 Raining,2 Road-Wet,0 None,0 None,43846.63542,3 Self Completion
1200231101,Barnet,30,51.60987373,-0.24672522,521501,191571,"On Bunns Lane, Near The Junction With Graham Park Way.",3 Slight,1,2,43847,Friday,43847.78472,3 Bor,5 C,0,1 Roundabout,30,02 Mini,4 Give Way/Uncontrolled,5 C,0,1 Zebra,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.78472,1 Police - At Scene
1200231102,Enfield,32,51.63413514,-0.13303267,529304,194464,"On Chase Side, Near The Junction With Chase Way.",3 Slight,1,1,43847,Friday,43847.50764,3 Bor,A,111,1 Roundabout,30,01 Roundabout,4 Give Way/Uncontrolled,6 Unclassified,0,8 Central Refuge,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.50764,1 Police - At Scene
1200231104,Ealing,27,51.52805747,-0.28549443,519030,182409,"On A40, Western Avenue, Near The Junction With Hanger Green.",3 Slight,1,2,43844,Tuesday,43844.76111,1 Tlrn,A,40,7 Slip Rd,20,05 Slip Road,4 Give Way/Uncontrolled,6 Unclassified,0,9 Unknown (S/R),1 Dark,5 Raining/High Winds,9 Unknown (S/R),0 None,0 None,43844.76111,3 Self Completion
1200231105,Brent,28,51.56264794,-0.25715552,520904,186302,"On Press Road, Near The Junction With Neasden Lane North.",3 Slight,1,3,43847,Friday,43847.35417,3 Bor,6 Unclassified,0,6 Single Cwy,20,05 Slip Road,4 Give Way/Uncontrolled,A,4088,0 No Xing Facility In 50M,2 Daylight,1 Fine,4 Road-Frost/Ice,9 Unknown (S/R),0 None,43847.35417,3 Self Completion
1200231107,Brent,28,51.53109702,-0.27078955,520042,182771,"On Central Way, Near The Junction With Abbey Road.",2 Serious,1,2,43843,Monday,43843.75694,3 Bor,6 Unclassified,0,1 Roundabout,20,02 Mini,4 Give Way/Uncontrolled,5 C,0,9 Unknown (S/R),1 Dark,2 Raining,2 Road-Wet,0 None,0 None,43843.75694,3 Self Completion
1200231110,Brent,28,51.55472429,-0.24981313,521434,185433,"On Neasden Lane, 60 Metres South Of The Junction With Lansdowne Grove.",3 Slight,1,2,43847,Friday,43847.72222,3 Bor,4 B,453,6 Single Cwy,30,08 Priv Drive,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.72222,1 Police - At Scene
1200231113,Wandsworth,10,51.44464052,-0.15844346,528076,173347,"On Ravenslea Road, 30 Metres East Of The Junction With Ravenslea Road.",3 Slight,1,1,43847,Friday,43847.79236,3 Bor,6 Unclassified,0,9 Unknown,20,00 No Jun In 20M,,,0,9 Unknown (S/R),1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.79236,3 Self Completion
1200231114,Westminster,1,51.51184943,-0.12817964,529988,180874,"On Great Newport Street , Near The Junction With Charing Cross Road .",3 Slight,1,1,43847,Friday,43847.48958,3 Bor,A,400,2 One-Way St,20,03 T/Stag Jun,2 Auto Sig,A,4201,9 Unknown (S/R),2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.48958,3 Self Completion
1200231115,Camden,2,51.54050604,-0.13985252,529097,184040,"On Camden Road, Near The Junction With Camden Street.",2 Serious,1,2,43847,Friday,43847.70833,1 Tlrn,A,503,3 Dual Cwy,20,06 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.70833,1 Police - At Scene
1200231119,Lambeth,9,51.46444643,-0.13705909,529506,175587,"On Stonhouse Street, Near The Junction With Belmont Road.",3 Slight,1,1,43847,Friday,43847.75347,3 Bor,6 Unclassified,0,6 Single Cwy,30,09 Other Jun,3 Stop Sign,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.75347,1 Police - At Scene
1200231122,Havering,15,51.53660188,0.19809075,552544,184256,"On South End Road, Near The Junction With Mungo Park Road Rm12.",3 Slight,1,3,43846,Thursday,43846.90347,3 Bor,5 C,0,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,2 Raining,2 Road-Wet,0 None,0 None,43846.90347,1 Police - At Scene
1200231123,Southwark,8,51.48965032,-0.09657756,532245,178462,"On Walworth Road, Near The Junction With Browning Road.",3 Slight,1,1,43847,Friday,43847.85069,3 Bor,A,215,6 Single Cwy,20,07 Multi Jun,2 Auto Sig,5 C,0,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.85069,1 Police - At Scene
1200231128,Barnet,30,51.58717788,-0.25159678,521224,189039,"On Edgware Road , 50 Metres North Of The Junction With Springfield Mount .",3 Slight,1,1,43844,Tuesday,43844.70139,3 Bor,A,5,6 Single Cwy,30,00 No Jun In 20M,,,0,1 Zebra,2 Daylight,2 Raining,2 Road-Wet,0 None,0 None,43844.70139,1 Police - At Scene
1200231129,Ealing,27,51.51408107,-0.25243881,521360,180909,"On Western Avenue, 5 Metres South Of The Junction With St Andrews.",3 Slight,1,2,43847,Friday,43847.82986,1 Tlrn,A,40,3 Dual Cwy,40,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.82986,1 Police - At Scene
1200231132,Lewisham,7,51.47424419,-0.05269432,535337,176829,"On Pomeroy Street, Near The Junction With Godly Close.",2 Serious,1,2,43847,Friday,43847.79028,3 Bor,4 B,2227,6 Single Cwy,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43847.79028,1 Police - At Scene
1200231133,Lambeth,9,51.47202667,-0.13532501,529605,176433,"On Wandsworth Road, Near The Junction With Union Road.",3 Slight,1,1,43847,Friday,43847.74861,3 Bor,A,3036,6 Single Cwy,20,06 Crossroads,2 Auto Sig,5 C,0,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.74861,1 Police - At Scene
1200231136,Camden,2,51.5417145,-0.17500537,526656,184113,"On Regency Parade, Near The Junction With Aderlaide Road.",3 Slight,1,2,43847,Friday,43847.65972,1 Tlrn,A,41,2 One-Way St,30,06 Crossroads,2 Auto Sig,A,41,5 Pedn Phase At Ats,2 Daylight,8 Other,1 Road-Dry,0 None,0 None,43847.65972,3 Self Completion
1200231137,Brent,28,51.56560447,-0.27897444,519384,186595,"On Forty Avenue, 50 Metres West Of The Junction With Barn Rise.",3 Slight,1,2,43847,Friday,43847.82639,3 Bor,A,4088,6 Single Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.82639,1 Police - At Scene
1200231138,Croydon,20,51.37180624,-0.09641148,532597,165358,"On Barclay Road, Near The Junction With Park Lane.",3 Slight,3,2,43847,Friday,43847.8125,1 Tlrn,A,232,1 Roundabout,30,01 Roundabout,2 Auto Sig,5 C,0,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.8125,3 Self Completion
1200231142,Haringey,31,51.5909097,-0.06976922,533809,189771,"On Tottenham High Road, Near The Junction With Chestnut Road.",3 Slight,1,2,43847,Friday,43847.72708,1 Tlrn,A,10,6 Single Cwy,20,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.72708,1 Police - At Scene
1200231146,Lambeth,9,51.44809714,-0.14496323,529003,173755,"On Cavendish Road, Near The Junction With Kenilford Road.",3 Slight,1,2,43847,Friday,43847.36111,3 Bor,5 C,0,9 Unknown,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,9 Unknown (S/R),2 Daylight,1 Fine,1 Road-Dry,0 None,9 Unknown (S/R),43847.36111,3 Self Completion
1200231148,Redbridge,14,51.57836113,0.12106697,547068,188742,"On Chadwell Heath Lane, 10 Metres South Of The Junction With South Road.",3 Slight,1,1,43847,Friday,43847.64861,3 Bor,5 C,0,3 Dual Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.64861,1 Police - At Scene
1200231149,Redbridge,14,51.56705246,0.11585118,546743,187474,On Goodmayes Retail Park Roundabout Access To High Road Goodmayes.,2 Serious,1,2,43847,Friday,43847.81111,3 Bor,6 Unclassified,0,1 Roundabout,30,01 Roundabout,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,1 Vehicle Load In Cwy,43847.81111,1 Police - At Scene
1200231152,Tower Hamlets,5,51.51108166,-0.01053938,538153,181004,"On Cotton Street, 20 Metres South Of The Junction With East India Dock Road, London .",3 Slight,1,1,43847,Friday,43847.96875,1 Tlrn,A,1206,3 Dual Cwy,30,03 T/Stag Jun,2 Auto Sig,A,13,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.96875,1 Police - At Scene
1200231154,Hackney,4,51.55865968,-0.05546647,534895,186211,"On Lea Bridge Road, 10 Metres East Of The Junction With Upper Clapton Road.",3 Slight,1,2,43847,Friday,43847.77083,1 Tlrn,A,104,6 Single Cwy,20,01 Roundabout,4 Give Way/Uncontrolled,A,107,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.77083,1 Police - At Scene
1200231155,Barnet,30,51.6141644,-0.15586564,527780,192203,"On Hartland Road, Near The Junction With Uk.",3 Slight,1,1,43848,Saturday,43848.99236,3 Bor,6 Unclassified,0,9 Unknown,20,05 Slip Road,4 Give Way/Uncontrolled,6 Unclassified,0,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43848.99236,3 Self Completion
1200231156,Barking & Dagenham,16,51.5430502,0.16567738,550275,184906,"On Rainham Road South, Near The Junction With Western Avenue.",3 Slight,1,1,43844,Tuesday,43844.83194,3 Bor,A,1112,6 Single Cwy,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,1 Dark,2 Raining,2 Road-Wet,0 None,0 None,43844.83194,3 Self Completion
1200231157,Wandsworth,10,51.47929614,-0.14290643,529058,177228,"On Battersea Park Road, 23 Metres West Of The Junction With Savona Street.",2 Serious,1,1,43847,Friday,43847.56944,1 Tlrn,A,3205,6 Single Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.56944,1 Police - At Scene
1200231159,Kensington & Chelsea,12,51.50649741,-0.20813011,524455,180140,"On Holland Park Avenue, Near The Junction With Princedale Road.",3 Slight,1,1,43847,Friday,43847.90069,3 Bor,A,402,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43847.90069,1 Police - At Scene
1200231164,Kensington & Chelsea,12,51.50658923,-0.20766538,524487,180151,"On Holland Park Avenue, Near The Junction With Portland Road.",2 Serious,1,2,43847,Friday,43847.30208,3 Bor,A,402,6 Single Cwy,30,03 T/Stag Jun,2 Auto Sig,6 Unclassified,0,9 Unknown (S/R),1 Dark,9 Unknown,9 Unknown (S/R),9 Unknown (S/R),9 Unknown (S/R),43847.30208,3 Self Completion
1200231165,Havering,15,51.56099309,0.22089265,554043,187016,"On Station Lane, Near The Junction With High Street Horchurch.",3 Slight,1,1,43847,Friday,43847.88194,3 Bor,A,124,6 Single Cwy,30,09 Other Jun,4 Give Way/Uncontrolled,5 C,0,1 Zebra,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.88194,3 Self Completion
1200231166,Bromley,19,51.3895628,0.11018218,546919,167726,On Cray Avenue Near The Access With Allied Bakers,3 Slight,1,1,43847,Friday,43847.24444,3 Bor,A,224,6 Single Cwy,30,08 Priv Drive,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,2 Raining,2 Road-Wet,0 None,0 None,43847.24444,1 Police - At Scene
1200231170,Barnet,30,51.61916058,-0.15621195,527742,192758,"On Park Way, 80 Metres West Of The Junction With Beuthne Avenue.",3 Slight,1,2,43848,Saturday,43848.00347,3 Bor,6 Unclassified,0,6 Single Cwy,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43848.00347,1 Police - At Scene
1200231173,Southwark,8,51.47160287,-0.070244,534126,176503,"On Highshore Road, Near The Junction With Abid Mews.",3 Slight,1,2,43847,Friday,43847.96389,3 Bor,6 Unclassified,0,2 One-Way St,20,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.96389,1 Police - At Scene
1200231177,Hackney,4,51.54806297,-0.04768197,535466,185047,"On Homerton High Street, Near The Junction With Ponsford Street.",3 Slight,1,2,43847,Friday,43847.76806,1 Tlrn,A,102,3 Dual Cwy,30,03 T/Stag Jun,2 Auto Sig,5 C,0,5 Pedn Phase At Ats,2 Daylight,8 Other,1 Road-Dry,9 Unknown (S/R),0 None,43847.76806,3 Self Completion
1200231178,Kensington & Chelsea,12,51.51023761,-0.21634175,523875,180542,"On St. Ann'S Road, Near The Junction With Mortimer Square W11.",3 Slight,1,1,43848,Saturday,43848.14722,3 Bor,5 C,0,6 Single Cwy,20,99 Unknown (S/R),9 Unknown (S/R),6 Unclassified,0,9 Unknown (S/R),1 Dark,1 Fine,1 Road-Dry,9 Unknown (S/R),0 None,43848.14722,3 Self Completion
1200231179,Lewisham,7,51.44207186,-0.00217317,538943,173346,"On Torridon Road, Near The Junction With Sandhurst Road .",3 Slight,1,2,43848,Saturday,43848.09722,3 Bor,5 C,0,6 Single Cwy,30,06 Crossroads,2 Auto Sig,5 C,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43848.09722,1 Police - At Scene
1200231180,Greenwich,6,51.48085001,-0.00910564,538344,177645,"On Nelson Road, 25 Metres East Of The Junction With Greenwich High Street.. The Nearest Classified Road Was The A206. The Nearest Classified Road Was The A206",3 Slight,1,1,43848,Saturday,43848.23472,3 Bor,A,206,2 One-Way St,30,00 No Jun In 20M,,,0,9 Unknown (S/R),1 Dark,8 Other,2 Road-Wet,4 Roadworks,0 None,43848.23472,3 Self Completion
1200231181,Enfield,32,51.61077098,-0.04623664,535380,192023,"On Glover Drive, Near The Junction With Argon Road (Roundabout).",3 Slight,1,2,43847,Friday,43847.91528,,6 Unclassified,0,1 Roundabout,30,01 Roundabout,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.91528,1 Police - At Scene
1200231182,Islington,3,51.54385581,-0.1175782,530632,184452,"On Caledonian Road, Near The Junction With Wheelwright Street.",3 Slight,1,2,43847,Friday,43847.38194,3 Bor,A,5203,9 Unknown,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,2 Daylight,5 Raining/High Winds,2 Road-Wet,0 None,0 None,43847.38194,3 Self Completion
1200231188,Tower Hamlets,5,51.50930987,-0.06535043,534355,180705,"On The Highway, Near The Junction With Vriginia Street.",3 Slight,1,2,43848,Saturday,43848.31042,1 Tlrn,A,1203,3 Dual Cwy,30,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43848.31042,1 Police - At Scene
1200231193,Haringey,31,51.59154794,-0.09837038,531826,189790,"On Mannock Road, Near The Junction With Boundary Road.",3 Slight,1,2,43847,Friday,43847.79653,3 Bor,6 Unclassified,0,9 Unknown,20,99 Unknown (S/R),9 Unknown (S/R),6 Unclassified,0,9 Unknown (S/R),1 Dark,9 Unknown,9 Unknown (S/R),9 Unknown (S/R),9 Unknown (S/R),43847.79653,3 Self Completion
1200231196,Newham,17,51.53324703,0.00804671,539375,183504,On Manor Rd Junction With Mitre Road.,3 Slight,1,2,43847,Friday,43847.62083,3 Bor,5 C,0,6 Single Cwy,30,03 T/Stag Jun,2 Auto Sig,A,1011,5 Pedn Phase At Ats,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43847.62083,3 Self Completion
1200231205,Westminster,1,51.52757042,-0.2036406,524709,182491,"On Portnall Road, London W9, 35 Metres North Of The Junction With Coomassie Road.",3 Slight,1,2,43847,Friday,43847.88542,3 Bor,6 Unclassified,0,6 Single Cwy,20,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.88542,3 Self Completion
1200231220,Sutton,21,51.36128053,-0.1968091,525638,164011,"On Cheam Road, Near The Junction With Homefield Park, Sutton Sm1 2Dy, Uk.",3 Slight,1,2,43848,Saturday,43848.5,1 Tlrn,A,232,6 Single Cwy,30,01 Roundabout,2 Auto Sig,6 Unclassified,0,5 Pedn Phase At Ats,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43848.5,1 Police - At Scene
1200231223,Barnet,30,51.61327798,-0.15382168,527924,192108,"On Friern Barnet Road, Near The Junction With Shapwick Close.",2 Serious,1,2,43847,Friday,43847.97917,3 Bor,A,1003,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,5 Surface Defect,0 None,43847.97917,3 Self Completion
1200231226,Waltham Forest,13,51.56989691,0.01091659,539462,187585,"On Lemna Road, Near The Junction With Kirkdale Road.",3 Slight,1,2,43847,Friday,43847.86111,3 Bor,6 Unclassified,0,2 One-Way St,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43847.86111,3 Self Completion
1200231227,Westminster,1,51.52269848,-0.16025536,527732,182024,"On Dorset Square, Near The Junction With Gloucester Place, London Nw1.",3 Slight,1,2,43847,Friday,43847.92361,1 Tlrn,A,41,7 Slip Rd,30,06 Crossroads,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,1 Dark,1 Fine,1 Road-Dry,9 Unknown (S/R),0 None,43847.92361,3 Self Completion
1200231229,Tower Hamlets,5,51.50389428,-0.00408032,538623,180217,Inside The Old Blackwall Tunnel,3 Slight,1,2,43848,Saturday,43848.46528,1 Tlrn,A,102,2 One-Way St,30,00 No Jun In 20M,,,0,0 No Xing Facility In 50M,2 Daylight,8 Other,1 Road-Dry,0 None,0 None,43848.46528,3 Self Completion
1200231230,Richmond-Upon-Thames,24,51.46513337,-0.25661283,521200,175459,"On Upper Richmond Road, Near The Junction With Hertford Avenue.",3 Slight,1,3,43848,Saturday,43848.50417,1 Tlrn,A,205,6 Single Cwy,30,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,5 Pedn Phase At Ats,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43848.50417,1 Police - At Scene
1200231239,Croydon,20,51.39648308,-0.1081092,531712,168081,"On Nutfield Road, Near The Junction With Bletchingley Close.",3 Slight,1,2,43848,Saturday,43848.4125,3 Bor,6 Unclassified,0,6 Single Cwy,20,08 Priv Drive,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43848.4125,1 Police - At Scene
1200231241,Ealing,27,51.49901222,-0.39155756,511744,179012,"On Western Road, Near The Junction With Derley Road.",3 Slight,1,1,43847,Friday,43847.86458,3 Bor,5 C,0,9 Unknown,30,09 Other Jun,9 Unknown (S/R),6 Unclassified,0,9 Unknown (S/R),1 Dark,9 Unknown,9 Unknown (S/R),9 Unknown (S/R),9 Unknown (S/R),43847.86458,3 Self Completion
1200231246,Havering,15,51.53700527,0.19911956,552614,184303,"On South End Road, Rainham, Near The Junction With Haynes Drive, Rainham.",2 Serious,2,1,43848,Saturday,43848.56458,3 Bor,5 C,0,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43848.56458,1 Police - At Scene
1200231250,Hillingdon,26,51.57513448,-0.41818165,509713,187437,"On West Hatch Manor, Near The Junction With Manor Way.",3 Slight,1,2,43848,Saturday,43848.60764,3 Bor,6 Unclassified,0,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43848.60764,1 Police - At Scene
1200231253,Tower Hamlets,5,51.53250799,-0.05702741,534864,183300,"On Hackney Road, Near The Junction With Cambridge Heath Road.",3 Slight,1,2,43848,Saturday,43848.62917,3 Bor,A,1208,6 Single Cwy,30,06 Crossroads,2 Auto Sig,A,107,5 Pedn Phase At Ats,2 Daylight,1 Fine,1 Road-Dry,4 Roadworks,0 None,43848.62917,1 Police - At Scene
1200231254,Merton,22,51.40900091,-0.2283938,523311,169264,"On Clifton Park Avenue, Near The Junction With Approach Road.",2 Serious,1,1,43848,Saturday,43848.49306,3 Bor,A,238,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,A,238,0 No Xing Facility In 50M,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43848.49306,1 Police - At Scene
